"""","倒　　　　　　産　　　　　　件　　　　　　数_和　歌　山　県_件　　数","倒　　　　　　産　　　　　　件　　　　　　数_和　歌　山　県_前年(同月･期)比","倒　　　　　　産　　　　　　件　　　　　　数_和　歌　山　県_件　　数","倒　　　　　　産　　　　　　件　　　　　　数_和　歌　山　県_前年(同月･期)比","倒　　　　　　産　　　　　　件　　　　　　数_全　　　国_件　　数","倒　　　　　　産　　　　　　件　　　　　　数_全　　　国_前年(同月･期)比"
"平成20年12月","11.0","-26.7","314.0","9.8","1362.0","24.2"
"平成21年1月","17.0","13.3","348.0","0.3","1360.0","15.8"
"平成21年2月","13.0","30.0","343.0","13.6","1318.0","10.4"
"平成21年3月","12.0","-47.8","390.0","6.8","1537.0","14.1"
"平成21年4月","14.0","-36.4","356.0","12.7","1329.0","9.4"
"平成21年5月","8.0","0.0","341.0","18.0","1203.0","-6.7"
"平成21年6月","22.0","37.5","407.0","25.2","1422.0","7.4"
"平成21年7月","16.0","166.7","373.0","11.3","1386.0","1.0"
"平成21年8月","8.0","33.3","370.0","22.5","1241.0","-1.0"
"平成21年9月","31.0","121.4","317.0","-5.9","1155.0","-18.0"
"平成21年10月","10.0","-33.3","344.0","-2.3","1261.0","-11.8"
"平成21年11月","7.0","-50.0","295.0","-13.7","1132.0","-11.4"
"平成21年12月","8.0","-27.3","302.0","-3.8","1136.0","-16.6"
"平成22年1月","10.0","-41.2","282.0","-19.0","1063.0","-21.8"
"平成22年2月","9.0","-30.8","300.0","-12.5","1090.0","-17.3"
"平成22年3月","13.0","8.3","363.0","-6.9","1314.0","-14.5"
"平成22年4月","13.0","-7.1","333.0","-6.5","1154.0","-13.2"
"平成22年5月","15.0","87.5","271.0","-20.5","1021.0","-15.1"
"平成22年6月","15.0","-31.8","332.0","-18.4","1148.0","-19.3"
"平成22年7月","11.0","-31.3","272.0","-27.1","1066.0","-23.1"
"平成22年8月","10.0","25.0","286.0","-22.7","1064.0","-14.3"
"平成22年9月","11.0","-64.5","303.0","-4.4","1102.0","-4.6"
"平成22年10月","13.0","30.0","351.0","2.0","1136.0","-9.9"
"平成22年11月","15.0","114.3","302.0","2.4","1061.0","-6.3"
"平成22年12月","13.0","62.5","311.0","3.0","1102.0","-3.0"
"平成23年1月","8.0","-20.0","280.0","-0.7","1041.0","-2.1"
"平成23年2月","11.0","22.2","269.0","-10.3","987.0","-9.4"
"平成23年3月","22.0","69.2","308.0","-15.2","1183.0","-10.0"
"平成23年4月","14.0","7.7","297.0","-10.8","1076.0","-6.8"
"平成23年5月","16.0","6.7","279.0","3.0","1071.0","4.9"
"平成23年6月","15.0","0.0","326.0","-1.8","1165.0","1.5"
"平成23年7月","5.0","-54.5","285.0","4.8","1081.0","1.4"
"平成23年8月","11.0","10.0","275.0","-3.8","1026.0","-3.6"
"平成23年9月","10.0","-9.1","279.0","-7.9","1001.0","-9.2"
"平成23年10月","8.0","-38.5","288.0","-17.9","976.0","-14.1"
"平成23年11月","13.0","-13.3","294.0","-2.6","1095.0","3.2"
"平成23年12月","9.0","-30.8","276.0","-11.3","1032.0","-6.4"
"平成24年1月","6.0","-25.0","244.0","-12.9","985.0","-5.4"
"平成24年2月","8.0","-27.3","261.0","-3.0","1038.0","5.2"
"平成24年3月","14.0","-36.4","283.0","-8.1","1161.0","-1.9"
"平成24年4月","5.0","-64.3","248.0","-16.5","1004.0","-6.7"
"平成24年5月","11.0","-31.3","284.0","1.8","1148.0","7.2"
"平成24年6月","11.0","-26.7","267.0","-18.1","975.0","-16.3"
"平成24年7月","8.0","60.0","288.0","1.1","1026.0","-5.1"
"平成24年8月","9.0","-18.2","241.0","-12.4","967.0","-5.8"
"平成24年9月","10.0","0.0","199.0","-28.7","931.0","-7.0"
"平成24年10月","10.0","25.0","252.0","-12.5","1035.0","6.0"
"平成24年11月","12.0","-7.7","267.0","-9.2","964.0","-12.0"
"平成24年12月","8.0","-11.1","241.0","-12.7","890.0","-13.8"
"平成25年1月","8.0","33.3","222.0","-9.0","934.0","-5.2"
"平成25年2月","10.0","25.0","224.0","-14.2","916.0","-11.8"
"平成25年3月","9.0","-35.7","233.0","-17.7","929.0","-20.0"
"平成25年4月","5.0","0.0","235.0","-5.2","899.0","-10.5"
"平成25年5月","8.0","-27.3","264.0","-7.0","1045.0","-9.0"
"平成25年6月","9.0","-18.2","216.0","-19.1","897.0","-8.0"
"平成25年7月","11.0","37.5","219.0","-24.0","1025.0","-0.1"
"平成25年8月","6.0","-33.3","199.0","-17.4","819.0","-15.3"
"平成25年9月","8.0","-20.0","231.0","16.1","820.0","-11.9"
"平成25年10月","8.0","-20.0","239.0","-5.2","959.0","-7.3"
"平成25年11月","5.0","-58.3","214.0","-19.9","862.0","-10.6"
"平成25年12月","7.0","-12.5","198.0","-17.8","750.0","-15.7"
